name,online_order,book_table,rate,votes,location,rest_type,dish_liked,approx_cost(for two people),listed_in(city)
The Humming Tree,Yes,No,4.1,2415,Indiranagar,Lounge,"Sangria, Chicken Salad, Sandwiches, Cocktails, Pizza, Gnocchi, Chicken Satay",1400.0,Indiranagar
Stoner,Yes,No,4.5,2668,Koramangala 5th Block,"Dessert Parlor, Cafe","Burgers, Caramel Shake, Spinach Pizza, Ferrero Rocher Ice Cream, Butter Chicken, Chocolate Lava Cake, Bbq Burger",500.0,BTM
Art of Delight,No,No,4.3,450,Koramangala 5th Block,Dessert Parlor,"Waffles, Blueberry Cheesecake, Brownie Fudge, Vanilla Ice Cream, Freak Shake, Nutella Cheesecake, Nutella Waffle",400.0,Koramangala 7th Block
Easy Bites,Yes,No,4.1,77,BTM,"Takeaway, Delivery","Potato Wedges, Chicken Shawarama, Popcorn Chicken",300.0,Koramangala 7th Block
Kitchens Of Chettinad,Yes,No,,0,Whitefield,Quick Bites,,250.0,Whitefield
"Malnad Blossom, Coffee & Cream",No,No,3.8,33,JP Nagar,Cafe,,300.0,JP Nagar
Warm Oven,Yes,No,4.0,171,Whitefield,Bakery,Chocolate Cake,500.0,Brookefield
Trio Dosa Connect,Yes,No,,0,HSR,Quick Bites,,300.0,HSR
Kulkarni's New Uttara Karnataka Food Speciality Stores,Yes,No,3.4,6,JP Nagar,Quick Bites,,250.0,Bannerghatta Road
Artinci Artisanal Ice Cream,Yes,No,3.5,7,HSR,Dessert Parlor,,300.0,HSR
Stoned Monkey,Yes,No,3.9,230,HSR,Dessert Parlor,"Smoothie Chocolate, Vanilla Ice Cream, Hot Chocolate Fudge, Nachos, Waffles, Garlic Bread",500.0,HSR
Unique Brew Cafe Resto,No,No,,0,Indiranagar,Quick Bites,,150.0,Indiranagar
Real Ambur Dum Biryani,No,No,3.2,4,Whitefield,Quick Bites,,250.0,Whitefield
Black Pagoda,No,No,2.9,11,Whitefield,Quick Bites,,300.0,Whitefield
XOOX Brewmill,No,Yes,4.4,1533,Koramangala 5th Block,"Microbrewery, Casual Dining","Cocktails, Apple Cider, Craft Beer, Burgers, Stout, Seafood Salad, Noodles",2000.0,BTM
Dessi Cuppa,Yes,No,3.7,35,HSR,"Quick Bites, Beverage Shop",,300.0,Bellandur
Chillout,Yes,No,,0,BTM,Cafe,,200.0,Koramangala 6th Block
Atta Galata,No,No,4.1,209,Koramangala 5th Block,Quick Bites,"Sandwiches, Masala Pav, Chicken Burger, Filter Coffee, Burgers, Masala Chai, French Fries",200.0,Koramangala 4th Block
Mad About China,Yes,No,3.9,146,Whitefield,Food Court,,600.0,Brookefield
Salt Mango Tree,Yes,Yes,4.2,255,Indiranagar,Casual Dining,"Appam, Kerala Parotta, Buttermilk, Biryani, Chicken Fry, Fish Curry, Beef Fry",800.0,Old Airport Road
Cafe Coffee Day The Lounge,Yes,No,3.8,76,HSR,Cafe,"Coffee, Cappuccino",650.0,Koramangala 6th Block
Thalis Of India,Yes,No,3.3,18,Whitefield,Delivery,,500.0,Brookefield
Lord of Combos,Yes,No,3.0,28,HSR,Delivery,,500.0,Koramangala 4th Block
Dosa Bazaar,Yes,No,4.0,112,JP Nagar,Quick Bites,"Cheese Dosa, Tea, Pizza Dosa",200.0,Bannerghatta Road
Namana Garden,No,No,2.6,75,BTM,Quick Bites,Vada,400.0,Bannerghatta Road
Thai House,Yes,No,4.2,227,Indiranagar,Casual Dining,"Papaya Salad, Tom Yum Soup, Pad Thai, Thai Spice, Sea Food, Thai Green Curry, Bubble Tea",800.0,Frazer Town
The Chaat Shop,No,No,3.2,9,BTM,Quick Bites,,100.0,Bannerghatta Road
Village Kitchen,Yes,No,,0,HSR,Quick Bites,,250.0,Koramangala 4th Block
Brewz Coffee,Yes,No,3.0,61,BTM,Cafe,"Coffee, Sandwiches, Cappuccino",650.0,BTM
Brundhavana Pure Veg,Yes,No,3.7,98,JP Nagar,Casual Dining,,500.0,JP Nagar
30 Square,Yes,No,4.2,556,Koramangala 5th Block,Quick Bites,"Veg Momos, Noodles, Cheese Momos, Jhol Momos, Wai Wai Bhel, Brownie, Chicken Momo",400.0,BTM
Corner House Ice Cream,Yes,No,4.7,2174,Indiranagar,Dessert Parlor,"Hot Chocolate Fudge, Chocolate Mousse, Brownie Fudge Sundae, Almond Fudge, Banana Split, Ice Cream Sundae, Apple Pie",400.0,Old Airport Road
Soup'ermanz Kitchen,Yes,No,4.1,446,HSR,Cafe,"Crispy Chicken, Pasta, Burgers, Pizza, Clear Soup, Chicken Burger, Brownie",800.0,Sarjapur Road
Birinz,Yes,No,4.3,81,HSR,Casual Dining,"Gulab Jamun, Chicken Guntur, Mushroom Biryani, Chicken Kolhapuri, Paneer Biryani, Chicken Biryani",650.0,Koramangala 4th Block
Noon's,Yes,No,4.2,162,HSR,Quick Bites,"Chicken Biryani, Hyderabadi Dum Biryani, Raita",300.0,HSR
Udupi Thadka,No,No,,0,BTM,Quick Bites,,250.0,BTM
Pathaan Sir,Yes,No,3.4,155,Indiranagar,Quick Bites,"Rolls, French Fries, Chicken Momo, Roti, Pulpy Grape Juice, Mutton Keema, Chicken Kebab",250.0,Indiranagar
Urban Tamaasha,Yes,Yes,4.1,840,Indiranagar,Casual Dining,"Virgin Mojito, Pasta Alfredo, Mocktails, Mutton Boti Kebab, Chelo Kebab, Diwani Handi, Dragon Rolls",1200.0,Indiranagar
Kurtoskalacs,No,No,4.6,277,Koramangala 5th Block,"Dessert Parlor, Quick Bites","Hazelnut Cappuccino, Pancakes, Nutella Shake, Chocolate Icecreams, Butter Chicken, Vanilla Ice Cream, Hibiscus Tea",400.0,Koramangala 7th Block
David's Kitchen,Yes,No,3.6,14,BTM,Quick Bites,,200.0,Koramangala 5th Block
Naati Manae,Yes,Yes,3.9,485,Koramangala 5th Block,Casual Dining,"Chicken Chettinad, Donne Biryani, Chicken Guntur, Veg Thali, Gobi Tikka, Mutton Chops, Chicken Curry",700.0,Koramangala 6th Block
Sids Cafe,Yes,No,,0,Koramangala 5th Block,Quick Bites,,200.0,Koramangala 4th Block
UBCR,Yes,No,3.3,5,Indiranagar,Quick Bites,,200.0,Old Airport Road
Wattaballz India,No,No,,0,Whitefield,Delivery,,200.0,Marathahalli
7 Plates,Yes,No,3.7,259,Koramangala 5th Block,Casual Dining,"Butter Kulcha, Rolls, Brownie, Mutton Biryani, Butter Chicken, Shawarma, Rumali Roti",750.0,Koramangala 7th Block
F5,No,No,3.2,4,Whitefield,Quick Bites,,300.0,Whitefield
Sri Vishnu Park,Yes,No,3.8,100,BTM,Casual Dining,Masala Dosa,350.0,Koramangala 5th Block
Chicken Magic,Yes,No,3.7,211,BTM,Quick Bites,,300.0,Jayanagar
Grow Fit,Yes,No,3.6,16,JP Nagar,"Takeaway, Delivery",,500.0,Banashankari
Khawa Karpo,No,No,4.3,988,Koramangala 5th Block,Quick Bites,"Momos, Noodles, Thukpa, Chicken Thupka, Manchow Soup, Chicken Momo, Crispy Honey Chicken",350.0,BTM
Zengi Pub & Restaurant,Yes,No,3.7,32,BTM,"Pub, Casual Dining",,900.0,BTM
eat.fit,Yes,No,4.5,873,Indiranagar,Delivery,"Sandwiches, Salads, Chicken Curry, Dal Makhani, Paratha, Noodles, Apple Mojito",500.0,MG Road
Two Friends Cauldron,Yes,Yes,4.1,459,JP Nagar,Casual Dining,"Butter Beer, Pasta, Fries, Burgers, Exotic Veg Pizza, Potato Wedges, Veggie Pizza",700.0,Jayanagar
Calvin's,Yes,No,3.8,433,Koramangala 5th Block,"Dessert Parlor, Quick Bites","Club Chicken Sandwich, Sandwiches, Coffee, Pie, Burgers, Carrot Cake, Cheesecake",800.0,Koramangala 6th Block
Momo Hut,Yes,No,4.0,685,Koramangala 5th Block,Quick Bites,"Noodles, Beef Momos, Chicken Shaptra, Chicken Thukpa, Clear Soup, Beef Momo, Chicken Thupka",250.0,Koramangala 5th Block
Brownie Heaven,Yes,No,3.9,18,Koramangala 5th Block,Dessert Parlor,,300.0,Koramangala 7th Block
Veruthe Oru Thattukada,Yes,No,3.7,27,BTM,Quick Bites,,400.0,BTM
Juice Shop,Yes,No,3.4,24,JP Nagar,"Takeaway, Delivery",,150.0,Bannerghatta Road
Shavaji Hotel,No,No,,0,JP Nagar,Quick Bites,,200.0,JP Nagar
INDULGE by InnerChef,Yes,No,3.5,27,Indiranagar,Bakery,,400.0,Indiranagar
Chocalot,No,No,,0,Koramangala 5th Block,Dessert Parlor,,800.0,Koramangala 6th Block
Kapoor's Biriyani,Yes,No,3.3,334,BTM,Quick Bites,"Raita, Hyderabadi Biryani",400.0,Koramangala 7th Block
Mr.Khana Khazana,Yes,No,,0,HSR,"Takeaway, Delivery",,400.0,Koramangala 4th Block
The Irish House,No,Yes,4.3,1776,Whitefield,"Casual Dining, Pub","Beer, Cocktails, Burgers, Chicken Nachos, Mocktails, Stout, Margarita",1700.0,Whitefield
House Of Commons,No,Yes,4.7,4449,Koramangala 5th Block,Bar,"Cocktails, Chaap, Tandoori Chicken, Mocktails, Beer, Ghee Roast Mutton, Martini",1000.0,Koramangala 7th Block
Roots n Fruits,Yes,No,3.6,13,JP Nagar,Beverage Shop,,250.0,JP Nagar
Hyderabad Chefs,Yes,No,4.0,277,Whitefield,Casual Dining,"Mutton Biryani, Hyderabadi Biryani, Chicken Biryani, Bamboo Chicken, Bbq Chicken, Vegetable Biryani, Tandoori Roti",800.0,Whitefield
New Delicacy,Yes,No,3.7,86,HSR,Casual Dining,"Momos, Hakka Noodles, Nasi Goreng, Dragon Prawn, American Chopsuey, Garlic Butter Noodle",500.0,HSR
Hunger Camp,No,Yes,4.6,319,JP Nagar,Casual Dining,"Tandoori Chicken, Chicken Sukha, Chicken Biryani, Neer Dosa, Dal Makhani, Mutton Biryani, Paneer Tikka Masala",1300.0,BTM
Dosa Plaza,Yes,No,3.8,139,Koramangala 5th Block,Quick Bites,Masala Dosa,200.0,BTM
One Night In Bangkok,No,No,,0,Indiranagar,Casual Dining,,1400.0,Old Airport Road
New Rajalakshmi Sweets,Yes,No,3.3,6,Whitefield,Sweet Shop,,300.0,Brookefield
Amour Fine Patisserie,Yes,Yes,4.0,82,HSR,"Cafe, Dessert Parlor","Macaroon, Coffee, Cappuccino, Pinacolada, Ferrero Rocher, Latte",500.0,HSR
Kinpeetos,Yes,No,3.9,64,Koramangala 5th Block,Quick Bites,"Burgers, Belgian Fries, Pasta, Salads, Falafel Pockets, Greek Sandwich",300.0,Koramangala 4th Block
Pathy's Kitchen,Yes,No,3.5,21,Indiranagar,Quick Bites,,500.0,Indiranagar
Darjeeling Hot Momos,No,No,,0,Koramangala 5th Block,Quick Bites,,300.0,Koramangala 4th Block
Thalis Of India,Yes,No,3.4,21,Indiranagar,Delivery,,500.0,Old Airport Road
Ji Hazoor,Yes,Yes,4.0,2834,Whitefield,"Casual Dining, Bar","Chicken Salad, Mocktails, Mutton Curry, Chicken Dum Biryani, Egg Masala, Egg Salad, Karela Salad",1100.0,Marathahalli
Ghee Biryani House,Yes,No,3.3,9,BTM,Quick Bites,,400.0,Koramangala 5th Block
WTF,Yes,No,4.1,93,Koramangala 5th Block,Cafe,"Cheesy Pizza, Cheese Pasta, Brownie Milkshake, Peri Peri Chicken, Nachos, Omelette, Peanut Butter Milkshake",600.0,Koramangala 5th Block
Eatery Have U Been,Yes,No,3.4,35,BTM,"Cafe, Quick Bites",,500.0,Jayanagar
Home Treats,No,No,,0,JP Nagar,"Takeaway, Delivery",,250.0,JP Nagar
House Of Seitan,Yes,No,4.0,38,Indiranagar,Cafe,"Burgers, Sandwich, Sandwiches, Salads",700.0,MG Road
Barbeque Delight,Yes,No,3.8,66,Koramangala 5th Block,Casual Dining,"Tandoori Chicken, Paratha",800.0,Koramangala 7th Block
WOW! Momo,Yes,No,2.8,91,BTM,Quick Bites,"Burgers, Momo Burger, Chocolate Momos, Tandoori Momos",400.0,JP Nagar
Mad About China,Yes,No,3.9,147,Whitefield,Food Court,,600.0,Whitefield
Candy Cake,No,No,3.4,6,BTM,Bakery,,500.0,BTM
Anju's Cafe,No,No,3.4,5,Indiranagar,Quick Bites,,400.0,Indiranagar
Kobe Sizzlers,No,Yes,4.1,1798,Koramangala 5th Block,Casual Dining,"Salads, Lamb, Sandwiches, Ice Tea, Chicken Salad, Steak, Chicken Shashlik",1000.0,Koramangala 6th Block
On The Nose,Yes,No,2.7,26,Koramangala 5th Block,Cafe,,600.0,Koramangala 6th Block
Bhikaram Chandmal Bhujiawala,No,No,3.0,43,Indiranagar,Quick Bites,,200.0,MG Road
Dum Biryani Hub,Yes,No,3.9,65,BTM,Quick Bites,"Dum Biryani, Mutton Biryani",700.0,Jayanagar
Malnad Military Hotel,No,No,,0,BTM,Quick Bites,,350.0,BTM
Ahmed's Little Hut,Yes,No,,0,BTM,Quick Bites,,250.0,JP Nagar
Karavali Grand,Yes,No,3.7,27,Koramangala 5th Block,Casual Dining,,600.0,Koramangala 6th Block
The Farm House Bar n Grill,No,No,3.7,34,Whitefield,"Casual Dining, Bar",,800.0,Whitefield
Organo Fresh,Yes,No,,0,Whitefield,Beverage Shop,,150.0,Brookefield
Bun Town,Yes,No,3.8,22,Koramangala 5th Block,Cafe,,500.0,Koramangala 7th Block
Pallavi North Indian Veg Restaurant,No,No,3.7,246,JP Nagar,Casual Dining,"Butter Paneer, Butter Naan, Panneer Butter Masala, Tandoori Roti",450.0,Jayanagar
Apna Punjab,Yes,No,3.7,476,BTM,Quick Bites,"Thali, Egg Masala, Chole, Paratha, Roti, Butter Chicken, Paneer Manchurian",450.0,JP Nagar
Waffle In The Box,Yes,No,,0,HSR,Dessert Parlor,,300.0,Koramangala 6th Block
Biryani Foodies,Yes,No,3.1,7,Koramangala 5th Block,Quick Bites,,500.0,BTM
Mainland China,Yes,Yes,4.4,1555,Indiranagar,Casual Dining,"Basil Chicken, Chicken Dim Sum, Lunch Buffet, Chicken Tom Yum Soup, Sweet Corn Soup, Singapore Noodles, Chicken Wings",1700.0,Old Airport Road
Ambur Hot Dum Biryani,No,No,3.0,13,Whitefield,Quick Bites,,200.0,Whitefield
Vaigai Express,Yes,No,3.3,9,Whitefield,Food Court,,400.0,Whitefield
Swathi Restaurant,Yes,No,3.8,49,JP Nagar,Quick Bites,,400.0,JP Nagar
Malabar Bay,Yes,Yes,4.2,1542,BTM,Casual Dining,"Panneer Butter Masala, Chicken Tikka, Mutton Curry, Paneer Tikka, Appam, Roast Chicken, Kerala Parotta",800.0,Koramangala 4th Block
Svadu Sweets,No,No,3.3,6,BTM,"Quick Bites, Sweet Shop",,200.0,Koramangala 6th Block
Fullyfilled,Yes,No,4.0,48,Indiranagar,Quick Bites,"Momos, Shawarma, Chicken Shawarama",200.0,Indiranagar
The Brekkie Shop,Yes,No,3.7,57,Indiranagar,Delivery,,300.0,Indiranagar
The Chaat Shop,No,No,3.2,9,BTM,Quick Bites,,100.0,JP Nagar
Indigo X II P,No,No,,0,HSR,Pub,"Pizza, Beer, Pasta",1250.0,HSR
Cafemoto,Yes,No,4.0,201,Koramangala 5th Block,Cafe,"Burgers, Chicken Burger, Beef Burger, Mojito, Tea, French Fries, White Sauce Pasta",800.0,Koramangala 5th Block
The Humming Tree,Yes,No,4.1,2415,Indiranagar,Lounge,"Sangria, Chicken Salad, Sandwiches, Cocktails, Pizza, Gnocchi, Chicken Satay",1400.0,Indiranagar
Aaranya Restaurant,Yes,No,3.4,212,HSR,Casual Dining,"Murgh Makhani, Chicken Biryani, Naan, Beer, Tandoori Chicken",800.0,Koramangala 6th Block
Nile Garden Restaurant,Yes,No,2.6,33,BTM,Casual Dining,,500.0,BTM
As On Fire,Yes,No,3.8,174,HSR,Quick Bites,"Chicken Drumsticks, Wood Fire Pizza, Thin Crust Pizza, Barbeque Chicken, Lime Soda, Veggie Pizza, Bbq Chicken",400.0,HSR
Ambur Azad Darbar,No,No,3.1,6,BTM,Quick Bites,,250.0,Koramangala 5th Block
Dabba Gosht,Yes,No,3.5,9,JP Nagar,"Takeaway, Delivery",,400.0,JP Nagar
Sri Punjabi Dhaba,Yes,No,3.3,50,BTM,Dhaba,,400.0,Koramangala 7th Block
The French Loaf,No,No,3.8,34,Koramangala 5th Block,Bakery,Sandwiches,400.0,Koramangala 6th Block
Dindigul Time Pass Restaurant,Yes,No,3.2,115,HSR,Casual Dining,,700.0,Koramangala 5th Block
Shree Thali,No,No,4.1,183,Koramangala 5th Block,Mess,"Veg Thali, Paratha, Kadhi, Shrikhand, Buttermilk, Sweet Lassi, Bati Churma",150.0,Koramangala 7th Block
S.W.A.T Food Truck,No,No,3.7,21,Koramangala 5th Block,Quick Bites,,250.0,Koramangala 5th Block
Tapri By The Corner,Yes,No,4.1,205,Koramangala 5th Block,Quick Bites,"Tea, Chole, Khichda, Butter Paneer, Paneer Bhurji, Paratha, Masala Chai",250.0,Koramangala 6th Block
Kinpeetos,Yes,No,3.9,64,Koramangala 5th Block,Quick Bites,"Burgers, Belgian Fries, Pasta, Salads, Falafel Pockets, Greek Sandwich",300.0,Koramangala 6th Block
Coastal Hub,Yes,Yes,4.0,364,Whitefield,Casual Dining,"Kerala Parotta, Appam, Ghee Rice, Sea Food, Paratha, Chicken Dum Biryani, Beef Fry",700.0,Brookefield
The Cake Shop Mayura,No,No,3.6,13,JP Nagar,Bakery,,800.0,Jayanagar
Eatsomnia,Yes,No,,0,JP Nagar,Delivery,,500.0,Jayanagar
Indian Food,Yes,No,2.9,345,BTM,"Takeaway, Delivery",,450.0,BTM
Tella Tales,Yes,No,4.2,413,Koramangala 5th Block,Cafe,"Pancakes, Pasta, Burgers, Exotic Veg Pizza, Mushroom Steak, Sushi, Peri Fries",700.0,BTM
Kettle & Kegs,Yes,No,,0,Indiranagar,Delivery,,200.0,Indiranagar
Invitation Bar & Restaurant,No,No,3.0,15,BTM,Bar,,1000.0,BTM
Bobacha,Yes,No,4.1,82,Whitefield,Beverage Shop,"Waffles, Fruit Tea, Pearl Milk Tea",300.0,Whitefield
Kolkatta Famous Chat,Yes,No,3.7,23,Indiranagar,Quick Bites,,100.0,Brigade Road
Eat Well,Yes,No,2.9,22,JP Nagar,Delivery,,400.0,Jayanagar
Shree Alva's Delicacy,No,No,,0,Whitefield,Quick Bites,,400.0,Brookefield
Nammura Donne Biriyani,Yes,No,3.6,68,BTM,Quick Bites,,300.0,Koramangala 4th Block
Chicken Corner,Yes,No,3.7,25,BTM,Quick Bites,,400.0,BTM
Igloo Shakez & Bytez,No,No,3.1,7,HSR,"Beverage Shop, Quick Bites",,300.0,HSR
Sri Rajasthani Foods,Yes,No,3.6,10,JP Nagar,Quick Bites,,200.0,JP Nagar
Little Orissa Restaurant,Yes,No,3.9,350,Indiranagar,Casual Dining,"Rasgulla, Mutton Kosha, Fish, Chicken Curry, Egg Tadka, Prawn Curry, Dahi Baigan",450.0,Old Airport Road
Chung Wah,Yes,No,4.0,313,Koramangala 5th Block,Casual Dining,"Noodles, Hunan Chicken, Momos, Spring Roll, Wonton Soup, Chicken Butter Garlic, Chicken Satay",800.0,BTM
Shake The Shake,Yes,No,,0,BTM,Beverage Shop,,200.0,Koramangala 5th Block
Tomago Roast,Yes,No,3.5,12,BTM,Quick Bites,,400.0,JP Nagar
Chung Wah,Yes,No,4.0,314,Koramangala 5th Block,Casual Dining,"Noodles, Hunan Chicken, Momos, Spring Roll, Wonton Soup, Chicken Butter Garlic, Fried Rice Chicken",800.0,Koramangala 7th Block
Yeti,No,No,3.7,22,BTM,"Quick Bites, Dessert Parlor",,300.0,BTM
Oregano Soul Food,Yes,No,4.0,158,Whitefield,Cafe,"Nachos, Sandwich, Coffee, White Sauce Pasta, Chicken Club Sandwiches, Pizza, Garlic Bread",700.0,Whitefield
Paradise,Yes,No,4.0,1974,JP Nagar,Casual Dining,"Kalmi Kabab, Hyderabadi Dum Biryani, Vegetable Biryani, Haleem, Supreme Mutton Biryani, Paneer Tikka, Hyderabadi Mutton Biryani",800.0,Bannerghatta Road
Frozen Bottle,Yes,No,4.1,240,Koramangala 5th Block,Beverage Shop,"Chocolate Hazelnut, Thick Shakes, Brownie Chocolate, Belgian Chocolate, Chocolate Shake, Tiramisu, Oreo Shake",400.0,Koramangala 7th Block
Mumbai Kulfi,Yes,No,4.0,92,HSR,Dessert Parlor,"Calcutta Paan, Malai Kulfi, Tender Coconut Kulfi, Kesar Pista Kulfi, Mango Kulfi",100.0,Bellandur
Crawl Street,Yes,Yes,4.3,2572,Koramangala 5th Block,Bar,"Biryani, Cocktails, Pasta, Peri Peri Chicken, Mocktails, Paneer Tikka Masala, Pizza",1200.0,Koramangala 5th Block
Sofiya Cakes,No,No,,0,HSR,Bakery,,300.0,HSR
Chaatimes,Yes,No,3.9,100,JP Nagar,Quick Bites,,200.0,Bannerghatta Road
New Surya Sweets & Snacks,No,No,3.5,7,BTM,Sweet Shop,,300.0,Koramangala 5th Block
Head O State,No,Yes,3.8,200,Indiranagar,"Casual Dining, Bar","Cocktails, Beer",1000.0,Old Airport Road
Singh Punjabi Dhaba,No,No,3.8,67,BTM,Quick Bites,,400.0,Koramangala 6th Block
Slate Cafe,Yes,No,4.1,53,JP Nagar,Cafe,"Pasta, Sandwiches, Pizza",600.0,Jayanagar
Tandoor-De-Naal,No,No,3.8,35,BTM,"Takeaway, Delivery","Rolls, Chicken Roll, Paneer Roll, Pasta",200.0,BTM
Ambur Hot Dum Biryani,No,No,3.5,21,BTM,Quick Bites,,200.0,Koramangala 4th Block
Best Biryani,No,No,,0,HSR,Quick Bites,,500.0,HSR
The Early bell,Yes,No,3.9,191,Whitefield,Quick Bites,"Sandwich, Paratha, Poha, Sandwiches, Idli Vada, Tea, Roti",300.0,Brookefield
Cafe Zuppa,Yes,No,,0,JP Nagar,Cafe,,450.0,Bannerghatta Road
Golden Restaurant,Yes,Yes,3.4,410,HSR,Casual Dining,"Chicken Grill, Shawarma",750.0,HSR
Freshies Gourmet Salads,Yes,No,3.7,17,HSR,"Takeaway, Delivery",,350.0,BTM
Shawarma Bite,No,No,,0,BTM,Quick Bites,,200.0,BTM
Master Of Kebab,No,No,,0,Whitefield,Quick Bites,,450.0,Whitefield
Chicken Corner,Yes,No,3.7,25,BTM,Quick Bites,,400.0,Koramangala 4th Block
Midnight Restro,Yes,No,3.4,55,BTM,Delivery,,500.0,Koramangala 6th Block
The Whitefield Arms Pub & Microbrewery,Yes,Yes,4.2,1113,Whitefield,"Pub, Microbrewery","Beer, Chicken Tikka, Cosmopolitan, Burgers, Cocktails, Mocktails, Pudding",1600.0,Whitefield
Turkish Shawarma,Yes,No,3.6,21,BTM,"Takeaway, Delivery",,200.0,Koramangala 7th Block
Gogula's Sweets & Chats,Yes,No,4.0,203,BTM,"Sweet Shop, Quick Bites","Chole, Kulfi, Kachori, Samosa, Chaat, Pav Bhaji, Barfi",200.0,Jayanagar
S.W.A.T Food Truck,No,No,3.7,21,Koramangala 5th Block,Quick Bites,,250.0,BTM
Eatery Have U Been,Yes,No,3.4,35,BTM,"Cafe, Quick Bites",,500.0,BTM
New Mahesh Friends Food Corner,Yes,No,3.3,48,BTM,Quick Bites,,300.0,BTM
On The Nose,Yes,No,2.7,26,Koramangala 5th Block,Cafe,,600.0,Koramangala 7th Block
Dabba Karkhana,Yes,No,3.5,17,BTM,"Takeaway, Delivery",,300.0,BTM
Urban Spoon Buffet Restaurant,No,Yes,3.5,32,Koramangala 5th Block,Casual Dining,Courteous Staff,1000.0,Koramangala 5th Block
Bamey's Restro Cafe,Yes,No,4.2,533,Koramangala 5th Block,Casual Dining,"Momo Platter, Thali, Noodles, Chicken Sekuwa, Chicken Thukpa, Jhol Momos, Veg Momos",600.0,Koramangala 7th Block
Petoo,Yes,No,4.0,25,BTM,Quick Bites,,550.0,Koramangala 6th Block
Ice Land,Yes,No,3.6,34,JP Nagar,Dessert Parlor,"Prompt Service, Friendly Staff",300.0,JP Nagar
The Twisted Desi,Yes,Yes,,0,Indiranagar,Casual Dining,,1000.0,Indiranagar
Windy- Taste Of Home,Yes,Yes,3.6,112,Whitefield,Quick Bites,"Thali, Biryani, Aloo Paratha",300.0,Whitefield
Santhrupthi Halli Mane,No,No,,0,BTM,Quick Bites,,500.0,BTM
YORK St.,Yes,No,4.4,950,Koramangala 5th Block,Cafe,"Beef Steak, Custard, Burgers, Beef Stroganoff, Salad, Sandwich, Sandwiches",900.0,Koramangala 7th Block
New Punjabi Hotel,Yes,No,3.7,178,BTM,Quick Bites,"Tandoori Chicken, Butter Chicken, Tandoori Roti, Bhindi Masala, Paratha, Dal Makhani",400.0,BTM
Nanna Munna Paratha House,No,No,3.6,20,BTM,Quick Bites,,300.0,Koramangala 6th Block
Delite Chaat House,Yes,No,4.0,450,Indiranagar,Quick Bites,"Chaat, Dabeli, Pav Bhaji, Sandwiches, Farsan, Sandwich, Vada Pav",300.0,Indiranagar
Waffle In The Box,Yes,No,,0,HSR,Dessert Parlor,,300.0,Koramangala 4th Block
TeaChaTe Express,No,No,,0,JP Nagar,Quick Bites,,150.0,Jayanagar
Konaseema Grand,Yes,No,3.2,379,Whitefield,Casual Dining,"Buttermilk, Chicken Biryani, Lassi, Tandoori Chicken, Bamboo Biryani, Mutton Biryani, Vegetable Biryani",1000.0,Brookefield
Brother?s Bar & Kitchen,No,No,3.4,5,BTM,Casual Dining,,1000.0,Koramangala 4th Block
Mr. Meetharam,Yes,No,3.2,34,JP Nagar,Quick Bites,,150.0,Bannerghatta Road
Donne Biriyani House,Yes,No,3.8,278,HSR,Quick Bites,"Rice, Donne Biryani, Mutton Biryani, Chicken Kebab, Chilli Chicken, Chicken Biryani, Kshatriya Kebab",200.0,HSR
Intriicake,Yes,No,3.8,34,HSR,"Quick Bites, Bakery",Cup Cake,350.0,HSR
Eat N Drink,No,No,3.8,87,BTM,Quick Bites,"Sandwiches, Fruit Juices, Burgers, Chicken Sandwich, Omelette, French Fries, Oreo Shake",250.0,Koramangala 6th Block
SNACKOMATE,Yes,No,,0,Koramangala 5th Block,Quick Bites,,300.0,Koramangala 6th Block
Bikaner Jn,Yes,No,3.9,85,JP Nagar,Quick Bites,"Thali, Dhokla, Samosa, Poha, Club Kachori, Paratha, Tea",300.0,JP Nagar
Stoner,Yes,No,4.5,2611,Koramangala 5th Block,"Dessert Parlor, Cafe","Burgers, Spinach Pizza, Butter Chicken Pizza, Chicken Bbq Burger, Tiramisu, Ferrero Rocher, Brownie Shake",500.0,Koramangala 4th Block
Night Biryani,Yes,No,3.2,21,BTM,"Takeaway, Delivery",,600.0,Koramangala 5th Block
RBP Greens Garden,Yes,No,2.7,48,BTM,Casual Dining,,700.0,Bannerghatta Road
Shanmukha,Yes,No,4.1,790,Koramangala 5th Block,Casual Dining,"Chicken Dum Biryani, Kerala Parotta, Chicken Boneless Biryani, Vegetable Biryani, Naan, Fish, Gulab Jamun",800.0,MG Road
Combo Box,No,No,3.0,15,BTM,"Takeaway, Delivery",,500.0,Koramangala 4th Block
Knight Ryders,Yes,No,3.4,239,BTM,Delivery,,400.0,Koramangala 7th Block
Aasife & Brothers Biriyani Centre,Yes,No,3.9,125,HSR,Casual Dining,"Biryani, Fried Rice, Fish, Chicken Lollipop",600.0,HSR
Bhartiya Jalpan,No,No,4.1,1075,Indiranagar,Casual Dining,"Chaat, Jalebi, Rasgulla, Panipuri, Dhokla, Kullad Chai, Paratha",800.0,Indiranagar
Seekers Cafe,No,No,3.6,25,BTM,Casual Dining,,500.0,Koramangala 5th Block
Rara Avis,No,No,3.9,61,JP Nagar,"Takeaway, Delivery",Chicken Curry,400.0,Bannerghatta Road
New Kabab Zone,Yes,No,2.9,51,JP Nagar,Casual Dining,,500.0,JP Nagar
